name ,add,postcode,owner,status,,,lat,long,city,notes,website,history
Chelsea Ram PH,"Public House, 32 Burnaby Street, LONDON",SW10 0PL,Young's,open,526284,177139,51.479121,-0.182885,Kensington and Chelsea,,https://camra.org.uk/pubs/chelsea-ram-chelsea-128976,
Chilled Eskimo,"Public House, 48 Southern Row, LONDON",W10 5AN,Independent,CLOSED,524181,182179,51.524881,-0.21138,Kensington and Chelsea,,https://www.fullers.co.uk/blog/pubs-articles/churchill-arms-manager-james-keogh,
Churchill Arms,"PUBLIC HOUSE, 119 Kensington Church Street, LONDON",W8 7LN,"Fuller, Smith & Turner ",open,525384,180170,51.506561,-0.194762,Kensington and Chelsea,Confidence: High. Pub's own site (https://www.churchillarmskensington.co.uk/) is Fuller's-branded; past winner of the Fuller's Griffin Award.,https://camra.org.uk/pubs/churchill-arms-kensington-128651,
Coco Momo,"Public House, 25 Gloucester Road, LONDON",SW7 4PL,Urban pubs and bars,CLOSED,526182,179251,51.498116,-0.183599,Kensington and Chelsea,,,
Courtfield Public House,"Public House, 187 Earl's Court Road, LONDON",SW5 9AN,Greene King,open,525599,178553,51.491981,-0.192241,Kensington and Chelsea,,,
Cross Keys,"Public House, 2 Lawrence Street, LONDON",SW3 5NB,Butcombe Brewing Company,open,527099,177676,51.483756,-0.170962,Kensington and Chelsea,,,
Crown and Sceptre,"PUBLIC HOUSE, 34 Holland Road, LONDON",W14 8BA,Independent,CLOSWED,524559,179156,51.49763,-0.207001,Kensington and Chelsea,,,
Devonshire Arms,"Public House  The, 37 Marloes Road, LONDON",W8 6LA,Mitchell and Butlers,open,525553,179119,51.497078,-0.192702,Kensington and Chelsea,"Confidence: High. CAMRA London Drinker WhatPub update lists 'W8, DEVONSHIRE ARMS (M&B), 37 Marloes Rd'.",https://londondrinker.camra.org.uk/wordpress/index.php/2022/07/25/whatpub-update-51/,
Drayton Arms,"153 Old Brompton Road, LONDON",SW5 0LJ,Mitchell and Butlers,,526203,178420,51.490652,-0.183594,Kensington and Chelsea,,,
Duke of Clarence,"148 Old Brompton Road, LONDON",SW5 0BE,Young's,,526265,178458,51.49098,-0.182688,Kensington and Chelsea,"Confidence: Medium. Address (Old Brompton Road, SW5) not fully verified. Listed as 'The Duke of Clarence, Kensington' on Young's own venue round-up page. Secondary: https://www.designmynight.com/london/pubs/kensington/pubs-in-kensington",https://www.youngs.co.uk/pubs-to-watch-the-six-nations-in-west-london,
Duke of Wellington PH,"179 Portobello Road, LONDON",W11 2ED,Young's,,524642,181151,51.515542,-0.205102,Kensington and Chelsea,Confidence: High. Brewery History Society records Young's ownership since 1991: https://breweryhistory.com/wiki/index.php/List_of_Youngs_of_Wandsworth_pubs,https://www.youngs.co.uk/pubs-to-watch-the-six-nations-in-west-london,
Earl of Lonsdale,"Public House, 277-281 Westbourne Grove, LONDON",W11 2QA,Samuel Smith,,524819,180925,51.513473,-0.202639,Kensington and Chelsea,,https://camra.org.uk/pubs/earl-of-lonsdale-notting-hill-129090,
Elephant & Castle,"Public House, 40-42 Holland Street, LONDON",W8 4LT,Mitchell and Butlers,,525529,179802,51.503222,-0.192805,Kensington and Chelsea,Confidence: High. Brand: Nicholson's — featured on Nicholson's own-venues page as 'our pub in Kensington'.,https://www.nicholsonspubs.co.uk/ourvenues,
Fox & Pheasant PH,"Public House, 1 Billing Road, LONDON",SW10 9UJ,James Blunt,,525918,177461,51.482088,-0.188038,Kensington and Chelsea,,,
Garden Bar and Grill,"41 Bramley Road, LONDON",W10 6SZ,Independent,,523754,180786,51.512456,-0.218021,Kensington and Chelsea,,,
Gloucester Arms,"Public House, 34 Gloucester Road, LONDON",SW7 4RB,Greene King,,526151,179366,51.499156,-0.184004,Kensington and Chelsea,Ex-Taylor Walker.,https://www.greeneking.co.uk/pubs/greater-london/gloucester-arms,
Greyhound Public House,"Public House, 1 Kensington Square, LONDON",W8 5EP,Greene King,,525783,179537,51.500784,-0.189242,Kensington and Chelsea,,,
Hereford Arms (The),"PUBLIC HOUSE, 127 Gloucester Road, LONDON",SW7 4TE,"Fuller, Smith & Turner ",,526349,178696,51.493099,-0.181393,Kensington and Chelsea,Confidence: Medium. Listed in the Brewery History Society's Fuller's estate list; verify against Fuller's current pub finder.,https://breweryhistory.com/wiki/index.php/List_of_Fuller%2C_Smith_%26_Turner_Ltd_pubs,
Hoop & Toy,"34 Thurloe Place, LONDON",SW7 2HQ,Greene King,,526855,178895,51.494766,-0.174037,Kensington and Chelsea,Confidence: High. Ex-Taylor Walker (before that Spirit/Punch). Secondary: https://camra.org.uk/pubs/hoop-toy-south-kensington-128796,https://www.greeneking.co.uk/pubs/greater-london/hoop-and-toy,
Kings Head,"Public House, 17 Hogarth Place, LONDON",SW5 0QT,"Fuller, Smith & Turner ",,525545,178655,51.49291,-0.192982,Kensington and Chelsea,Confidence: Medium. Listed in the Brewery History Society's Fuller's estate list; verify against Fuller's current pub finder.,https://breweryhistory.com/wiki/index.php/List_of_Fuller%2C_Smith_%26_Turner_Ltd_pubs,
Ladbroke Arms Public House,"54 Ladbroke Road, LONDON",W11 3NW,Independent (unconfirmed),,524825,180441,51.509121,-0.202717,Kensington and Chelsea,Confidence: Unverified. Own-brand site with no chain attribution found; treat as independent pending a licensing-register or Companies House check.,https://www.ladbrokearms.com/,
Lots Road Pub & Dining room,"114 Lots Road, LONDON",SW10 0RJ,Market Taverns,,526231,177060,51.478415,-0.183677,Kensington and Chelsea,,,
Old Swan,"Public House, 206 Kensington Church Street, LONDON",W8 4DP,Greene King,,525364,180417,51.508794,-0.194962,Kensington and Chelsea,Confidence: High. Has a pub page on Greene King's own site.,https://www.greeneking.co.uk/pubs/greater-london/old-swan,
Pig & Whistle PH,"92-94 Bramley Road, LONDON",W10 6UG,Independent,,523788,180955,51.513968,-0.217472,Kensington and Chelsea,,,
Portobello Star Public House,"Public House, 171 Portobello Road, LONDON",W11 2DY,Marylebone Leisure,,524718,181002,51.514186,-0.204074,Kensington and Chelsea,,https://camra.org.uk/pubs/portobello-star-notting-hill-129089,
Prince Albert,"11 Pembridge Road, LONDON",W11 3HQ,Mitchell and Butlers,,525172,180497,51.509547,-0.1977,Kensington and Chelsea,,,
Prince Of Wales,"Public House, 8 Kensington Church Street, LONDON",W8 4EP,Greene King,,525660,179741,51.502635,-0.190941,Kensington and Chelsea,,,
Raffles Club,"287 King's Road, LONDON",SW3 5EW,Independent,CLOSED,526914,177847,51.485344,-0.173564,Kensington and Chelsea,,,
Sporting Page,"PUBLIC HOUSE, 6 Camera Place, LONDON",SW10 0BH,Market Taverns,,526510,177763,51.484679,-0.179409,Kensington and Chelsea,,,
Stanhope Arms (The),"Adam Court, 97 Gloucester Road, LONDON",SW7 4SS,Greene King,,526295,178822,51.494244,-0.182125,Kensington and Chelsea,Confidence: Medium. Ex-Taylor Walker (Taylor Walker passed to Greene King with the Spirit acquisition in 2015); confirm on Greene King's current pub finder. Sources: https://www.greeneking.co.uk/our-company/our-history ; https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d1581706-r329547961-The_Stanhope_Arms-London_England.html,,
Stewart Arms PH,"26 Norland Road, LONDON",W11 4TR,LDS Investments,,523905,180041,51.505728,-0.216107,Kensington and Chelsea,Formerly Stonegate,,
Sun in Splendour,"PUBLIC HOUSE, 7 Portobello Road, LONDON",W11 3DA,Mitchell and Butlers,,525141,180648,51.510911,-0.198092,Kensington and Chelsea,Confidence: High. Brand: M&B Castle. CAMRA's WhatPub entry explicitly describes it as an M&B Castle pub.,https://whatpub.com/pubs/WLD/16400/sun-in-splendour-notting-hill,
The Beauchamp,"43-44 Beauchamp Place, LONDON",SW3 1NX,Jaks Holdings,,527484,179206,51.497429,-0.164869,Kensington and Chelsea,,,
The Britannia,"Public House, 1 Allen Street, LONDON",W8 6UX,Young's,,525412,179119,51.497109,-0.194732,Kensington and Chelsea,Confidence: High. Young & Co.'s Brewery PLC. Listed by name on Young's own venue round-up page: https://www.youngs.co.uk/pubs-to-watch-the-six-nations-in-west-london,https://www.britanniakensington.co.uk/,
The Castle,"Public House, 225 Portobello Road, LONDON",W11 1LU,Mitchell and Butlers,,524609,181238,51.51633,-0.205546,Kensington and Chelsea,,,
The Champion,"Public House 1 Wellington Terrace, Notting Hill Gate, LONDON",W2 4LW,Mitchell and Butlers,CLOSED,525528,180554,51.50998,-0.192552,Kensington and Chelsea,,,
The Coopers Arms,"PUBLIC HOUSE, 87 Flood Street, LONDON",SW3 5TB,Young's,,527508,177945,51.48609,-0.164978,Kensington and Chelsea,,,
The Crown,"Public House, 153 Dovehouse Street, LONDON",SW3 6LB,Independent,,526921,178377,51.490096,-0.173273,Kensington and Chelsea,,,
The Eagle,"250 Ladbroke Grove, LONDON",W10 5LP,Hippo Inns,,524085,181937,51.522728,-0.212863,Kensington and Chelsea,,,
The Earls Court Tavern,"Public House, 123 Earl's Court Road, LONDON",SW5 9RL,Greene King,,525436,178747,51.493762,-0.194526,Kensington and Chelsea,Confidence: Medium. Ex-Taylor Walker (directory gives taylor-walker.co.uk as the pub's site; Taylor Walker is a Greene King brand post-2015). https://www.greeneking.co.uk/our-company/our-history,https://www.useyourlocal.com/pubs/earls-court-tavern-london-sw5-10348/,
The Elgin,"96 Ladbroke Grove, LONDON",W11 1PY,Young's,,524367,181249,51.516483,-0.209043,Kensington and Chelsea,"Confidence: High. Listed as 'The Elgin, Ladbroke Grove' on Young's own venue round-up page: https://www.youngs.co.uk/pubs-to-watch-the-six-nations-in-west-london",https://www.youngs.co.uk/,
The Gloucester,"187 Sloane Street, LONDON",SW1X 9QR,Guy Ritchie,owner,527852,179498,51.49997,-0.159465,Kensington and Chelsea,,,
The Goat Tavern,"PUBLIC HOUSE, 3A Kensington High Street, LONDON",W8 5NP,Greene King,,525845,179681,51.502055,-0.188298,Kensington and Chelsea,Confidence: High. Named and described on Greene King's own London pubs editorial page.,https://www.greeneking.co.uk/behind-the-bar/the-best-pubs-in-london,
The Hansom Cab,"84 Earl's Court Road, LONDON",W8 6EG,Independent,CLOSED,525245,179007,51.49614,-0.197177,Kensington and Chelsea,Piers Morgan,https://www.thelondoneconomic.com/food-drink/best-pubs-in-west-london-211774/,
The Hillgate,"24 Hillgate Street, LONDON",W8 7SR,Inda pubs,,525173,180338,51.508118,-0.197742,Kensington and Chelsea,,,
The Holland,"PUBLIC HOUSE, 25 Earl's Court Road, LONDON",W8 6EB,Independent,,525182,179245,51.498293,-0.198014,Kensington and Chelsea,,,
The Hunter's Moon,"Public House, 86 Fulham Road, LONDON",SW3 6HR,Auroragate operations,,526805,178375,51.490114,-0.17495,Kensington and Chelsea,,,
The Kings Arms,"Public House, 190 Fulham Road, LONDON",SW10 9PN,Young's,,526391,177930,51.486197,-0.181062,Kensington and Chelsea,,,
The Knight of Notting Hill Pub,"Public House, 139 Ladbroke Grove, LONDON",W10 6HJ,Independent,,524300,181296,51.516921,-0.209984,Kensington and Chelsea,,,
The Mall Tavern,"Public House, 71-73 Palace Gardens Terrace, LONDON",W8 4RU, Perritt & Perritt,,525448,180345,51.508119,-0.193778,Kensington and Chelsea,,,
The Mitre,"PUBLIC HOUSE, 40 Holland Park Avenue, LONDON",W11 3QY,Greene King,,524730,180300,51.507874,-0.204135,Kensington and Chelsea,,,
The Pelican,"Public House, 45 All Saints Road, LONDON",W11 1HE,Public House Group,,524686,181470,51.518398,-0.204355,Kensington and Chelsea,,,
The Pembroke,"Public House, 261 Old Brompton Road, LONDON",SW5 9JA,Greene King,,525626,178189,51.488704,-0.191982,Kensington and Chelsea,,,
The Phene,"Arms, 9 Phene Street, LONDON",SW3 5NY,Young's,,527331,177843,51.485214,-0.167563,Kensington and Chelsea,,,
The Phoenix Pub and Dining Room,"23 Smith Street, LONDON",SW3 4EE,Young's,Closed,527624,178271,51.488994,-0.163191,Kensington and Chelsea,,,
The Prince of Teck,"PUBLIC HOUSE, 161 Earl's Court Road, LONDON",SW5 9RQ,Whelans,,525486,178663,51.492986,-0.193829,Kensington and Chelsea,,https://camra.org.uk/pubs/prince-of-teck-earls-court-129028,
The Queen's Arms,"30 Queen's Gate Mews, LONDON",SW7 5QL,Mitchell and Butlers,,526361,179445,51.499829,-0.180952,Kensington and Chelsea,,,
The Scarsdale,"Public House, 23A Edwardes Square, LONDON",W8 6HE,"Fuller, Smith & Turner ",,525087,179180,51.49773,-0.19939,Kensington and Chelsea,Confidence: High. Pub's own site (https://www.scarsdaletavern.co.uk/) is Fuller's-branded; runner-up for Fuller's Griffin Trophy in 2022.,https://camra.org.uk/pubs/scarsdale-tavern-kensington-128989,
The Surprise,"Public House, 6 Christchurch Terrace, LONDON",SW3 4AJ,Wren Pubs,,527665,177973,51.486298,-0.162708,Kensington and Chelsea,,,
The Sydney Arms,"70 Sydney Street, LONDON",SW3 6NJ,Thoroughbred Pub Co,,527215,178193,51.488377,-0.169107,Kensington and Chelsea,,,
The Uxbridge Arms,"13 Uxbridge Street, LONDON",W8 7TQ,Independent,,525109,180368,51.508402,-0.198653,Kensington and Chelsea,,,
The Latimer,"Public House, 274 Latimer Road, LONDON",W10 6QW,Independent,,523280,181463,51.518653,-0.22461,Kensington and Chelsea,Formerly The Volunteer,,
Warwick Arms,"160 Warwick Road, LONDON",W14 8PS,Independent,,524842,178890,51.495178,-0.203021,Kensington and Chelsea,,,
Windsor Castle,"Public House, 114 Campden Hill Road, LONDON",W8 7AR,Mitchell and Butlers,,525116,180162,51.506548,-0.198625,Kensington and Chelsea,Confidence: Medium. M&B Castle / Nicholson's estate. Grade II listed; confirm on mbplc.com brand site.,https://en.wikipedia.org/wiki/Windsor_Castle%2C_Kensington,
Zetland Arms PH,"PUBLIC HOUSE, 2-4 Bute Street, LONDON",SW7 3EX,Greene King,,526709,178776,51.493738,-0.176181,Kensington and Chelsea,Confidence: Medium. Ex-Taylor Walker (passed to Greene King in 2015). https://www.greeneking.co.uk/our-company/our-history,https://en.wikipedia.org/wiki/Zetland_Arms,
Lock & Lantern,"60 GREAT WESTERN ROAD, LONDON",W11 1AB,Aldrich Inns,,524932,181725,51.520638,-0.200728,Kensington and Chelsea,Formerly The Quiet Night,,
Builders Arms,"1 Kensington Court Place, LONDON",W8 5BJ,Mitchell and Butlers,,,,51.49959074,-0.188356915,Kensington and Chelsea,"Confidence: Low. Site copy is near-identical to the M&B-operated Devonshire Arms site, and a pub-photography archive records M&B (Metro Professionals), but this is NOT confirmed by a company source. Distinct from Builders Arms PH in Chelsea (Britten Street), already on this sheet, which Hippo Inns bought from Geronimo in 2019: https://www.hospitalityandcateringnews.com/2019/09/hippo-inns-acquires-builders-arms-geronimo-inns/",https://www.thebuildersarmskensington.co.uk/about-us,
O'Neill's Earls Court,"326 Earls Court Road, LONDON",SW5 9BQ,Mitchell and Butlers,,,,51.48974029,-0.190480671,Kensington and Chelsea,"Confidence: Medium. Brand: O'Neill's, an M&B brand; site appears on the RBKC licensing awards list. Confirm the site is still trading under the brand.",https://www.rbkc.gov.uk/bestbarnone/awarded2011.asp,
Cock & Bottle,"17 Needham Road, LONDON",W11 2RP,Young's,,,,51.51558324,0.197448312,Kensington and Chelsea,"Confidence: Unverified. Own-brand site with no chain attribution found. CAMRA crawl notes Young's Original on the bar, which is suggestive but not proof of ownership: https://londonpubsgroup.camra.org.uk/viewnode.php?id=242411",https://www.cockandbottlew11.com/,
