id,name,address,postcode,a,b,lat,long,city,notes,website,History,
96170,Globe Lawn Tennis Club Bar,"190a Haverstock Hill, London",NW3 2AL,527382,185108,51.550494,-0.164211,Camden,Sports venue,,,
96184,GOODSWAY,"11 Goods Way, London",N1C 4DP,530094,183367,51.534229,-0.125762,Camden,,,permanently closed,
96212,GRAVITY DRINKS,"Offices And Premises At 1st Floor, 21-27 Lamb's Conduit Street, London",WC1N 3GS,530649,181917,51.521069,-0.118299,Camden,Wholesaler,,,
96229,Green Note Ltd,"106 Parkway, London",NW1 7AN,528689,183669,51.537265,-0.145897,Camden,Music venue,http://www.greennote.co.uk/,,
96231,Green Village Deli,"57 Belsize Road, London",NW6 4BE,526320,184076,51.541458,-0.17989,Camden,Deli,,,
96263,Gunmakers Arms,13 Eyre Street Hill,EC1R 5ET,531181,182098,51.522572,-0.110566,Camden,Taco restaurant,,,
96293,Hampstead Theatre,"1 Eton Avenue, London",NW3 3EL,527475,184529,51.545269,-0.163066,Camden,Theatre,,,
96306,Hare & Tortoise,"11-13 Brunswick Centre, London",WC1N 1AF,530279,182264,51.524273,-0.123504,Camden,Asian restaurant,,,
96318,Hat & Tun,"3 Hatton Wall, London",EC1N 8HX,531354,182014,51.521779,-0.10811,Camden,Pub,https://www.thehatandtun.com/,,
96322,HAVERSTOCK TAVERN,"94 Haverstock Hill, London",NW3 2BD,527849,184712,51.54683,-0.157623,Camden,Pub,,Permanently closed,
96409,Horse & Wig,"Cromwell House, 14 Fulwood Place, London",WC1V 6HZ,530992,181699,51.519032,-0.113442,Camden,Pub,https://www.horseandwig.com/,,
96426,Hudson's House,"St Giles Hotel, 12 Bedford Avenue",WC1B 3GH,529830,181512,51.51762,-0.130249,Camden,restaurant,,,
96518,Jack Horner,"235-236 Tottenham Court Road, London",W1T 7QN,529693,181637,51.518775,-0.132176,Camden,Pub,https://www.jackhornerpub.co.uk/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=yext&utm_content=P043&y_source=1_MTIyMzcyMDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,
96524,Jamboree,"6 St Chad's Place, London",WC1X 9HH,530524,182978,51.530626,-0.11971,Camden,Music venue,,,
96632,King William IV,"Public House And Premises, 77 Hampstead High Street, London",NW3 1RE,526534,185641,51.555473,-0.176229,Camden,Hotel,,,
96794,Lock Tavern,"35 Chalk Farm Road, London",NW1 8AJ,528547,184286,51.542843,-0.147718,Camden,Pub,https://www.mcmullens.co.uk/local-pub/lock-tavern/,,
96819,Lord John Russell P.H.,"91-93 Marchmont Street, London",WC1N 1AL,530104,182458,51.526058,-0.125953,Camden,Pub,https://www.bloomsburylondon.com/tenants/lord-john-russell,,
96820,Lore Of The Land,"4 Conway Street, London",W1T 6BB,529168,181993,51.522085,-0.139609,Camden,Pub,https://gritchiepubs.com/,,
96830,Lucas Arms,"245A Gray's Inn Road, London",WC1X 8QY,530535,182740,51.528493,-0.119639,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/lucas-arms?utm_source=g_places&utm_medium=locations&utm_campaign=UC_pubpage,,
96842,Lyttleton Arms,"1 Camden High Street, London",NW1 7JE,529148,183386,51.534617,-0.139386,Camden,Pub,https://www.thelytteltonarmscamden.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,,
96849,Mabel's Tavern,"9 Mabledon Place, London",WC1H 9AZ,529988,182649,51.527802,-0.127554,Camden,Pub,https://www.mabelstavern.co.uk/,,
96916,Marlborough Arms,"36 Torrington Place, London",WC1E 7HJ,529547,181964,51.521748,-0.134159,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/marlborough-arms?utm_source=g_places&utm_medium=locations&utm_campaign=UC_pubpage,,
96918,Marquis Cornwallis,"31 Marchmont Street, London",WC1N 1AP,530170,182282,51.524462,-0.125067,Camden,Pub,https://www.themarquiscornwalliswc1.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,,
97016,MILLER CLARK LTD AT THE OLD WHITE BEAR,"1 Well Road, London",NW3 1LJ,526566,186003,51.558711,-0.175638,Camden,Pub,http://www.theoldwhitebearhampstead.co.uk/,,
97080,Museum Tavern,"49 Great Russell Street, London",WC1B 3BA,530137,181583,51.518187,-0.125801,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/museum-tavern?utm_source=g_places&utm_medium=locations&utm_campaign=HT_pubpage,,
97145,New Ambassadors Theatre,"Ambassadors Theatre, West Street, London",WC2H 9ND,530002,181000,51.512979,-0.12796,Camden,Theatre,,,
97146,New Bloomsbury Set,"76 Marchmont Street, London",WC1N 1AG,530143,182434,51.525834,-0.1254,Camden,Pub,http://www.newbloomsburyset.net/,permanently closed,
97185,Norfolk Arms,"28 Leigh Street, London",WC1H 9EP,530153,182524,51.52664,-0.125223,Camden,Pub,http://www.norfolkarms.co.uk/,,
97193,North Star,"104 Finchley Road, London",NW3 5JJ,526431,184575,51.545917,-0.178111,Camden,Pub,https://www.facebook.com/NorthStarPub,,
97258,One Tun,"58-60 Goodge Street, London",W1T 4ND,529370,181672,51.519163,-0.136816,Camden,Pub,https://www.theonetun.co.uk/,,
97260,One75,"175 West End Lane, London",NW6 2LH,525509,184598,51.546321,-0.191392,Camden,cocktail bar,,,
97261,O'Neill's,"73-77 Euston Road, London",NW1 2QS,530081,182769,51.528859,-0.12617,Camden,Pub,https://www.oneills.co.uk/national-search/london/kings-cross?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,,
97289,Oxford Arms,"265 Camden High Street, London",NW1 7BU,528792,184041,51.540594,-0.144276,Camden,Pub,http://www.oxfordarmscamden.co.uk/,,
97359,Penderel's Oak,"New Penderel House, 283-287 High Holborn, London",WC1V 7HP,530862,181576,51.517956,-0.11536,Camden,Pub,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/penderels-oak-holborn,,
97373,Philomenaâ€™s,"40 Great Queen Street, London",WC2B 5AA,530405,181242,51.515061,-0.122066,Camden,Pub,http://www.philomenasbar.co.uk/,,
97374,Phineas,"25 Gordon Street, London",WC1H 0AH,529619,182365,51.525326,-0.132975,Camden,SU Bar,http://studentsunionucl.org/places-for-you/bars/phineas,,
97515,Prince Albert PH,"163 Royal College Street, London",NW1 0SG,529290,183985,51.539968,-0.13712,Camden,Pub,https://www.princealbert.pub/,,
97517,Prince Arthur,"80-82 Eversholt Street, London",NW1 1BX,529577,182876,51.529945,-0.133392,Camden,Hotel,,,
97518,Prince of Wales,"53 Highgate High Street, London",N6 5JX,528389,187404,51.570891,-0.148858,Camden,Pub,http://www.princeofwaleshighgate.co.uk/,,
97519,Prince Of Wales Feathers,"8 Warren Street, London",W1T 5LD,529243,182224,51.524153,-0.138443,Camden,Pub,https://www.theprinceofwalesfeathersw1.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,,
97521,Princess Louise,"208 High Holborn, London",WC1V 7BW,530426,181489,51.517265,-0.121673,Camden,Pub,https://princesslouiseholborn.co.uk/,,
97523,Princess of Wales,"22 Chalcot Road, London",NW1 8LL,528120,184006,51.540423,-0.153959,Camden,Pub,http://www.lovetheprincess.com/,,
97555,Queen's Head,"66 Acton Street, London",WC1X 9NB,530611,182744,51.528512,-0.118543,Camden,Pub,http://queensheadlondon.com/,,
97556,Queens Head & Artichoke,"32 Albany Street, London",NW1 4EA,528848,182394,51.525771,-0.144072,Camden,Bar,http://www.theartichoke.net/,,
97565,Railway,"100 West End Lane, London",NW6 2LU,525560,184591,51.546246,-0.190645,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/railway-west-hampstead?utm_source=g_places&utm_medium=locations&utm_campaign=UC_pubpage,,
97615,Reverend J W Simpson,32-34 Goodge Street,W1T 2QJ,529479,181738,51.519731,-0.135222,Camden,cocktail bar,http://www.revjwsimpson.com/,,
97631,Rising Sun,"46 Tottenham Court Road, London",W1T 2ED,529613,181682,51.519197,-0.133312,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/rising-sun?utm_source=g_places&utm_medium=locations&utm_campaign=HT_pubpage,,
97658,Rose and Crown,71-73 Torriano Avenue,NW5 2SG,529551,185137,51.550259,-0.13293,Camden,Pub,http://www.roseandcrownkentishtown.com/,,
97679,Royal George,"8-14 Eversholt Street, London",NW1 1DG,529713,182697,51.528296,-0.131498,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/royal-george?utm_source=g_places&utm_medium=locations&utm_campaign=UC_pubpage,,
97735,Salsa!,"96 Charing Cross Road, London",WC2H 0JG,529922,181124,51.514112,-0.129067,Camden,club,,,
97736,Salt Lounge,"269 West End Lane, London",NW6 1QS,525476,185064,51.550525,-0.191687,Camden,club,,,
97771,Scala,"275-277 Pentonville Road, London",N1 9NL,530457,182970,51.530578,-0.120678,Camden,Music venue,,,
97776,Scottish Malt Whisky Society,"19 Greville Street, London",EC1N 8SQ,531443,181752,51.519395,-0.106926,Camden,Members club,,,
97801,Sevilla Mia,22 Hanway Street,W1T 1UQ,529706,181430,51.51691,-0.132074,Camden,club,,,
97846,Simmons,"7-9 Kentish Town Road, London",NW1 8NH,528914,183935,51.539614,-0.142557,Camden,Bar,,permanently closed,
97847,Simmons Bar,"28 Maple Street, London",W1T 6HP,529217,182011,51.522236,-0.138896,Camden,Bar,,permanently closed,
97848,Simmons Bar,"109 Kingsway, London",WC2B 6PP,530526,181420,51.516633,-0.120258,Camden,cocktail bar,,,
97849,Simmons Bar,7 Camden High Street,NW1 7JE,529157,183398,51.534723,-0.139252,Camden,cocktail bar,,,
97850,Simmons Bar (Jeremy Bentham),"31 University Street, London",WC1E 6JL,529449,182168,51.523603,-0.135496,Camden,Pub,https://thejeremybentham.co.uk/,,
97859,Sir Christopher Hatton,"4 Leather Lane, London",EC1N 7RA,531338,181601,51.518071,-0.108495,Camden,Pub,https://www.nicholsonspubs.co.uk/restaurants/london/thesirchristopherhattonhattongardenlondon?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,,
97861,Sir John Oldcastle,"Farringdon Point, 29-35 Farringdon Road, London",EC1M 3JF,531510,181801,51.519829,-0.105942,Camden,Pub,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/the-sir-john-oldcastle-farringdon?utm_source=google&utm_medium=maps&utm_campaign=gmb,,
97862,SIR RICHARD STEELE PUB,"97 Haverstock Hill, London",NW3 4RL,527763,184705,51.546795,-0.15885,Camden,Pub,https://www.instagram.com/sirrichardsteelenw3?igsh=a2poN2V0c2wzbHZ2,,
97863,Sir Robert Peel,"108 Malden Road, London",NW5 4DA,528188,184977,51.549143,-0.15264,Camden,Pub,http://sir-robert-peel.edan.io/,,
97869,Skinners Arms,"114 Judd Street, London",WC1H 9NT,530162,182706,51.528274,-0.125026,Camden,Pub,http://www.skinnersarmslondon.com/,,
97873,Slatterys Bar,"69 Camden Road, London",NW1 9EU,529216,184257,51.54243,-0.138087,Camden,Pub,https://camra.org.uk/pubs/slatterys-london-125238,,
97909,Spearmint Rhino,"161 Tottenham Court Road, London",W1T 7NN,529379,182129,51.523268,-0.136519,Camden,adult entertainment,,,
97915,Spiritual Bar,6 Ferdinand Street,NW1 8ER,528464,184328,51.543239,-0.148899,Camden,Music venue,,,
97917,Spread Eagle,"141 Albert Street, London",NW1 7NB,528758,183709,51.537609,-0.144888,Camden,Pub,https://www.spreadeaglecamden.co.uk/,,
97937,St Martin's Theatre,"St Martins Theatre, West Street, London",WC2H 9NG,530032,180977,51.512756,-0.127537,Camden,Theatre,,,
98067,Sway Bar,"61-65 Great Queen Street, London",WC2B 5BZ,530501,181301,51.515569,-0.120662,Camden,sports bar,https://www.swaybar.co.uk/,,
98107,Tapping the Admiral,"Tavern In The Town Public House, 77 Castle Road",NW1 8SU,528638,184568,51.545356,-0.146303,Camden,Pub,http://www.tappingtheadmiral.com/,,
98130,TCR Lounge Bar,"183 Tottenham Court Road, London",W1T 7PE,529460,181993,51.522027,-0.135402,Camden,Pub,http://bartcr.com/,,
98183,The Angel Inn,"37 Highgate High Street, London",N6 5JT,528476,187368,51.570547,-0.147616,Camden,Pub,http://www.theangel.pub/,,
98184,The Angel Public House,"61 St Giles High Street, London",WC2H 8LE,530010,181275,51.515449,-0.127744,Camden,Pub,https://londonist.com/pubs/pubs/the-angel-2,,
98187,The Argyle,"1 Greville Street, London",EC1N 8PQ,531311,181714,51.519093,-0.108841,Camden,Pub,https://www.pubsmiths.co.uk/argyle-holborn?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,,
98188,The Assembly House,"292-294 Kentish Town Road, London",NW5 2TG,529040,185205,51.550989,-0.140276,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/assembly-house?utm_source=g_places&utm_medium=locations&utm_campaign=UC_pubpage,,
98195,The Beaten Docket,"50-56 Cricklewood Broadway, London",NW2 3ET,524091,185387,51.553725,-0.211553,Camden,Pub,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/the-beaten-docket-cricklewood,,
98201,The Black Heart & LD's Kitchen,"2-3 Greenland Place, London",NW1 0AP,528966,183850,51.538829,-0.141839,Camden,bar,http://www.ourblackheart.com/,,
98202,The Black Lion,295 West End Lane,NW6 1RD,525436,185157,51.551359,-0.19224,Camden,Pub,https://www.theblacklionnw6.co.uk/?utm_source=g_places&utm_medium=locations&utm_campaign=MC_pubpage,,
98203,The Black Lion,"274 Kilburn High Road, London",NW6 2BY,524930,184302,51.543798,-0.199843,Camden,hotel,http://www.blacklionkilburn.co.uk/,,
98205,The Bleeding Heart Tavern,"19 Greville Street, London",EC1N 8SQ,531443,181752,51.519395,-0.106926,Camden,Pub,https://bleedingheart.co.uk/,,
98209,The Blue Sea Fish Bar,"143 Queen's Crescent, London",NW5 4ED,528207,185048,51.549768,-0.15234,Camden,restaurant,,,
98211,The Blues Kitchen,"111-113 Camden High Street, London",NW1 7JN,529012,183656,51.537075,-0.141247,Camden,Bar,http://www.theblueskitchen.com/camden/?utm_source=GMB&utm_medium=Organic&utm_campaign=GMB_Listing,,
98212,The Boot,"116 Cromer Street, London",WC1H 8BS,530219,182638,51.52765,-0.12423,Camden,Pub,https://theboot.website/,,
98213,The Bountiful Cow,"47-51 Eagle Street, London",WC1R 4AP,530664,181654,51.518704,-0.118183,Camden,Pub,http://www.thebountifulcow.co.uk/,,
98218,The Bull And Last Pub,"168 Highgate Road, London",NW5 1QS,528437,186075,51.558945,-0.14865,Camden,Pub,http://www.thebullandlast.co.uk/,,
98222,The Cambridge Theatre,"Cambridge Theatre, Earlham Street, London",WC2H 9HU,530110,181062,51.513512,-0.126382,Camden,Theatre,,,
98224,The Camden Assembley,"49 Chalk Farm Road, London",NW1 8AN,528438,184314,51.543119,-0.149279,Camden,Music venue,,,
98226,The Camden Head,100 Camden High Street,NW1 0LU,529015,183706,51.537522,-0.14118,Camden,Pub,https://camdenhead.com/,,
98229,The Carpenters Arms,"68-70 Whitfield Street, London",W1T 4EY,529384,181965,51.521793,-0.136507,Camden,Pub,https://www.thecarpentersarmsw1.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,,
98241,The Clerk and Well,"156 Clerkenwell Road, London",EC1R 5DU,531175,182059,51.522216,-0.110672,Camden,Pub,https://www.theclerkandwellpub.co.uk/,,
98243,The Cobden Arms,"28-30 Camden High Street, London",NW1 0JH,529170,183482,51.535484,-0.139033,Camden,Pub,https://camra.org.uk/pubs/phoenix-london-125136,,
98244,The Cock Tavern,"23 Phoenix Road, London",NW1 1HB,529717,183016,51.531162,-0.131323,Camden,Pub,https://www.thecocktavernlondon.com/,,
98250,The Colonel Fawcett,"1 Randolph Street, London",NW1 0SS,529360,184179,51.541696,-0.13604,Camden,Pub,http://www.thecolonelfawcett.co.uk/,,
98256,The Court,"108A Tottenham Court Road, London",W1T 5AA,529347,182095,51.52297,-0.136992,Camden,Pub,https://www.thecourtlondon.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,,
98257,The Craft Beer Co ( Covent Garden ) Ltd,168 High Holborn,WC1V 7AA,530177,181312,51.515743,-0.125319,Camden,Pub,http://www.thecraftbeerco.com/covent-garden/,,
98258,The Crown,"43 Monmouth Street, London",WC2H 9DD,530082,181150,51.514309,-0.126753,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/crown?utm_source=g_places&utm_medium=locations&utm_campaign=HT_pubpage,,
98259,The Crown PH,"51 New Oxford Street, London",WC1A 1BL,530099,181434,51.516857,-0.126403,Camden,Pub,https://www.samuelsmithsbrewery.co.uk/,,
98263,The Dolphin,"44 Red Lion Street, London",WC1R 4PF,530699,181812,51.520107,-0.117621,Camden,Pub,https://www.london.camra.org.uk/viewnode.php?id=127523,,
98264,The Dolphin Public House,"47 Tonbridge Street, London",WC1H 9DW,530181,182777,51.528908,-0.124726,Camden,Pub,http://www.thedolphin-pub.com/,,
98268,The Dublin Castle,"94 Parkway, London",NW1 7AN,528711,183690,51.537449,-0.145572,Camden,Pub,http://thedublincastle.com/,,
98271,The Duke of Hamilton,"23-25 New End, London",NW3 1JD,526440,186021,51.558902,-0.177462,Camden,Pub,https://locipubs.com/duke/,,
98272,The Duke of York,"7 Roger Street, London",WC1N 2PB,530771,182112,51.522786,-0.116473,Camden,Pub,https://londonpubsgroup.camra.org.uk/viewnode.php?id=27653,,
98273,The Electric Ballroom,"184 Camden High Street, London",NW1 8QP,528886,183944,51.539692,-0.142957,Camden,club,,,
98274,The Elephants Head,"224 Camden High Street, London",NW1 8QR,528816,184055,51.540714,-0.143925,Camden,Pub,http://www.elephantsheadcamden.com/,,
