,name ,add,postcode,owner,status,a,b,lat,long,city,notes
527691,Goodmans Field,"Goodman Field Public House Gro, 87-91 Mansell Street, London",E1 8AP,JD Wetherspoons,open,533838,180953,51.511661,-0.072726,Tower Hamlets,
527694,GOPPA @ The Carpenters Arms,"Carpenters Arms Public House, 73 Cheshire Street, London",E2 6EG,Friendship pub company,open,622675,-5527598,\N,\N,Tower Hamlets,
527827,Hope & Anchor,"14 Newby Place, London",E14 0EY,Independent,open,538066,180805,51.509305,-0.011896,Tower Hamlets,
527834,Howling Hops,"Unit 9a Queens Yard, 43 White Post Lane, London",E9 5EN,Independent,open,537183,184525,51.542965,-0.023163,Tower Hamlets,
527846,Hungerford Arms,"240 Commercial Road, London",E1 2NB,Independent,open,534832,181289,51.514444,-0.058282,Tower Hamlets,
527951,Juju's,"15 Hanbury Street, London",E1 6QR,Independent,closed,533786,181906,51.520237,-0.073113,Tower Hamlets,
527993,Kings Arms,"11a Buckfast Street, London",E2 6EY,Independent,closed,534244,182490,51.525376,-0.066294,Tower Hamlets,
528079,Leman Street Tavern,"Unit 3 North West Block, Goodman's Fields, London",E1 8PT,Young's,open,534005,181186,51.513706,-0.070235,Tower Hamlets,
528129,London Hospital Tavern,"176 Whitechapel Road, London",E1 1BJ,Independent,open,534883,181834,51.519329,-0.05734,Tower Hamlets,
528159,Mad George Tavern,"George Tavern, 373 Commercial Road, London",E1 0LA,Independent,open,535204,181289,51.514346,-0.052925,Tower Hamlets,"Pauline Frost, disputed"
528220,Marquis Of Cornwallis,"Marquis Of Cornwallis Public House, 304 Bethnal Green Road, London",E2 0AG,Unknown,closed,534349,182592,51.526268,-0.064742,Tower Hamlets,
528260,Merchant & Weaver,"8a Lamb Street, London",E1 6EA,Independent,open,533610,181883,51.520073,-0.075647,Tower Hamlets,
528278,Mikkeller Bar London,"2-4 Hackney Road, London",E2 7NS,Mikkeller,open,533509,182698,51.52742,-0.076804,Tower Hamlets,partly owned by Rick Astley
528330,Moretown Belle,"5 Thomas More Square, London",E1W 1YW,Belle Pubs and Restaurants,open,534183,180514,51.507634,-0.067924,Tower Hamlets,
528331,Morgan Arms,"43 Morgan Street, London",E3 5AA,Greene King,open,536443,182752,51.527195,-0.034515,Tower Hamlets,
528342,Mother Kelly's Bottle Shop & Tap Room,"Railway Arch 251, Paradise Row, London",E2 9LE,Moontide,open,534941,182818,51.528158,-0.056127,Tower Hamlets,
528437,Nelsons Head PH,"32 Horatio Street, London",E2 7SB,Independent,open,533978,183094,51.530867,-0.069896,Tower Hamlets,
528470,Ninety One Living Room,"91 Brick Lane, London",E1 6QL,Independent,open,533838,182072,51.521716,-0.072301,Tower Hamlets,
528612,Perseverance,"Perseverance Public House, 110-112 Pritchards Road, London",E2 9AP,Independent,open,534489,183478,51.534196,-0.062402,Tower Hamlets,
528678,Poplar Blackwall & District Rowing Bar,"Ferry Street, London",E14 3DT,"Poplar, Blackwell & District Rowing Club",open,538104,178321,51.486984,-0.01232,Tower Hamlets,
528721,Prince Regent,"Prince Regent Public House, 81 Salmon Lane, London",E14 7PR,Independent,open,536339,181306,51.514226,-0.036572,Tower Hamlets,
528723,Princess of Prussia,"15 Prescot Street, London",E1 8AZ,Wellman Taverns,open,533982,180936,51.511474,-0.070659,Tower Hamlets,
528726,Prospect of Whitby,"57 Wapping Wall, London",E1W 3SH,Greene King,open,535354,180497,51.507202,-0.051068,Tower Hamlets,
528745,Queens Head,"Queens Head Public House, 8 Flamborough Street, London",E14 7LS,Beanie Project Limited,open,536181,181241,51.513689,-0.038872,Tower Hamlets,
528851,Royal Oak,"73 Columbia Road, London",E2 7RG,Young's,open,534005,182934,51.529423,-0.069568,Tower Hamlets,
528927,Sebright Arms,"Sebright Arms Public House, 31-35 Coate Street, London",E2 9AG,Independent,open,534444,183236,51.532033,-0.063128,Tower Hamlets,
529000,Sir Sydney Smith,"22 Dock Street, London",E1 8JP,Sir Sydney Smith Limited,open,534129,180824,51.510432,-0.068584,Tower Hamlets,
529107,Star In Liverpool,"94-98 Middlesex Street, London",E1 7EZ,Electric Star,open,533550,181527,51.516887,-0.076656,Tower Hamlets,
529109,"Star of the East, Daddy‚Äôs Dim Sum, Phikul","805a Commercial Road, London",E14 7HG,Enclave pubs,open,536865,181109,51.512338,-0.029073,Tower Hamlets,
529280,The Beehive,"104-106 Empson Street, London",E3 3LT,Independent,open,537887,182160,51.521525,-0.013944,Tower Hamlets,
529282,The Bell PH,"50 Middlesex Street, London",E1 7EX,Independent,open,533633,181412,51.515825,-0.075505,Tower Hamlets,
529285,The Big Chill Bar,"Unit CG002, Dray Walk, London",E1 6QL,Big Chill,open,533838,182072,51.521716,-0.072301,Tower Hamlets,
529286,The Birdcage,"80 Columbia Road, London",E2 7QB,Urban Pubs and Bars,open,533930,182826,51.52847,-0.07069,Tower Hamlets,Confidence: High. Evidence: Trade press reports Urban Pubs & Bars acquired The Birdcage from BrewDog (administration) in January 2026. Source: https://www.morningadvertiser.co.uk/Article/2026/01/14/urban-pubs-bars-acquires-brewdogs-birdcage-pub/
529287,The Black Horse,"40 Leman Street, London",E1 8EU,Independent,open,534009,181098,51.512923,-0.070208,Tower Hamlets,
529291,The Bow Bells,"Bow Bells Public House, 116 Bow Road, London",E3 3AA,Independent,open,537424,182855,51.527892,-0.020342,Tower Hamlets,
529297,The Buxton,"42 Osborn Street, London",E1 6TD,Robin Hood In London Ltd,open,534015,181541,51.516903,-0.069954,Tower Hamlets,
529298,The Camel Public House,"The Camel Public House, 277 Globe Road, London",E2 0JD,Independent,open,535274,182847,51.528339,-0.051333,Tower Hamlets,
529302,The Carpenters Arms,"The Carpenters Arms, 135 Cambridge Heath Road, London",E1 5RN,Independent,open,535013,182249,51.523027,-0.055308,Tower Hamlets,
529308,The Coborn,"6-8 Coborn Road, London",E3 2DA,Young's,open,536741,182762,51.527222,-0.030217,Tower Hamlets,"Confidence: High. Evidence: WhatPub/CAMRA lists The Coborn as a ""Young's Pub""; history confirms it was purchased by Young's in 1984. Source: https://whatpub.com/pubs/ELC/14364/coborn-bow"
529316,The Craft Beer Co Limehouse,"576-578 Commercial Road, London",E14 7JD,Punch Pubs & Co (Punch Taverns),open,536092,181122,51.512642,-0.0402,Tower Hamlets,Confidence: High. Evidence: The Craft Beer Co. Limehouse (formerly The Railway Tavern) came under Punch Taverns ownership by 2010 and reopened as part of the Craft Beer Co. chain in 2016; renamed The Clement Attlee in 2025 but remains Punch-owned. Source: https://camra.org.uk/pubs/clement-attlee-limehouse-155215
529317,The Crown,"223 Grove Road, London",E3 5SN,Young's,open,535902,183267,51.531963,-0.042124,Tower Hamlets,"Confidence: High. Evidence: Local press reports The Crown, Grove Road reopened after refurbishment under the Young's pub chain. Source: https://romanroadlondon.com/crown-pub-reopens-refurbishment/"
529318,The Crown,"The Crown Public House, 667 Commercial Road, London",E14 7LW,Independent,open,536233,181151,51.512868,-0.038158,Tower Hamlets,
529319,The Culpeper,"40 Commercial Street, London",E1 6LP,The Culpeper Family,open,533857,181478,51.516365,-0.072254,Tower Hamlets,"Confidence: High. Evidence: The Culpeper's own ""About us"" page confirms it was created in 2014 by Nico Treguer and Gareth Roberts with Bash Redford, the same team behind The Buxton, forming The Culpeper Family group. Source: https://www.theculpeper.com/about/"
529322,The Dockers Inn,"97 Wapping Lane, London",E1W 2RW,Independent,open,534930,180231,51.504914,-0.05728,Tower Hamlets,
529327,The Dundee Arms,"Dundee Arms Public House, 339 Cambridge Heath Road, London",E2 9LH,London Ordinaries,open,534946,182857,51.528507,-0.056041,Tower Hamlets,
529338,The Ferry House,"Ferry House Public House, 26 Ferry Street, London",E14 3DT,Independent,open,538104,178321,51.486983,-0.012319,Tower Hamlets,
529340,The Florist Arms,"Florists Arms Public House, 255 Globe Road, London",E2 0JD,Barley Pop,open,535274,182847,51.528339,-0.051333,Tower Hamlets,
529348,The George,"114-114a Glengall Grove, London",E14 3ND,Hippo Inns,open,538101,179294,51.495719,-0.011983,Tower Hamlets,
529349,The Golden Heart,"110 Commercial Street, London",E1 6LZ,Independent,open,533710,181869,51.519923,-0.074222,Tower Hamlets,"Confidence: High. Evidence: Extensive press coverage (Spitalfields Life, Vice, Soho House) confirms landlady Sandra Esquilant has owned and run The Golden Heart for over 40 years as an independent pub. Source: https://spitalfieldslife.com/2019/07/20/forty-years-at-the-golden-heart/"
529353,The Grapes PH,"The Grapes PH, 76 Narrow Street, London",E14 8BP,Independent,open,536601,180682,51.508556,-0.03304,Tower Hamlets,"Confidence: High. Evidence: Multiple press sources confirm The Grapes is owned in partnership by Sir Ian McKellen, director Sean Mathias and Evgeny Lebedev, who bought it in 2011. Source: https://en.wikipedia.org/wiki/The_Grapes,_Limehouse"
529354,The Green Goose,"112 Anglo Road, London",E3 5HD,Young's,open,536865,183314,51.532153,-0.028217,Tower Hamlets,"Confidence: High. Evidence: CAMRA/WhatPub lists Green Goose, Bow explicitly as a ""Young's Pub with Open Kitchen."" Source: https://whatpub.com/pubs/ELC/14410/green-goose-bow"
529357,The Greenwich Pensioner,"The Greenwich Pensioner, 28 Bazely Street, London",E14 0ES,Independent,open,538150,180856,51.509752,-0.010665,Tower Hamlets,
529359,The Griff Inn Bar & Kitchen,"BSLA Building (St Bartholomew & The Royal London School of Medicine & Dentistry), 4 Newark Street, London",E1 2AT,Independent,closed,534565,181526,51.51664,-0.062042,Tower Hamlets,
529365,The Gun,"27 Cold Harbour, London",E14 9NS,"Fuller, Smith & Turner",open,538387,180048,51.502425,-0.00757,Tower Hamlets,"Confidence: High. Evidence: ETM Group (Tom and Ed Martin), who restored and ran The Gun from 2004, sold it to Fuller, Smith & Turner in July 2016. Source: https://www.luxurylifestylemag.co.uk/food-and-drink/restaurant-review-the-gun-canary-wharf-in-london/"
529366,The Gun,"54 Brushfield Street, London",E1 6AG,Heineken,open,533549,181757,51.518954,-0.076584,Tower Hamlets,
529369,The Hare,"Hare Tavern Public House, 505 Cambridge Heath Road, London",E2 9BU,Independent,open,534827,183400,51.533424,-0.057546,Tower Hamlets,
529370,The Henry Addington,"Henry Addington, 22-28 Mackenzie Walk, London",E14 4PH,Mitchells & Butlers,open,537373,180253,51.504523,-0.02209,Tower Hamlets,"Confidence: High. Evidence: CAMRA/pub records describe the Henry Addington, Canary Wharf as one of Mitchells & Butlers' Nicholson's-branded pubs. Source: https://camra.org.uk/pubs/henry-addington-canary-wharf-155192"
529382,The Ledger Building,"Ledger Building, 4 Hertsmere Road, London",E14 4AL,Wetherspoons,open,537241,180599,51.507655,-0.023856,Tower Hamlets,"Confidence: High. Evidence: JD Wetherspoon's own pub-histories page confirms The Ledger Building, West India Quay is one of its pubs. Source: https://www.jdwetherspoon.com/pub-histories/the-ledger-building-docklands/"
529383,The Lighthouse,"421 Wick Lane, London",E3 2JG,Independent,closed,537309,183692,51.535441,-0.021672,Tower Hamlets,
529384,The Limehouse,"29-30 Fishermans Walk, London",E14 4DH,"Fuller, Smith & Turner",open,537394,180409,51.50592,-0.021727,Tower Hamlets,"Confidence: High. Evidence: Fuller's own website blog announces ""The Limehouse opens in Canary Wharf"" as a Fuller's pub on Fisherman's Walk. Source: https://www.fullers.co.uk/blog/pubs-articles/limehouse-pub-opens-canary-wharf"
529385,The Little Driver,"125 Bow Road, London",E3 2AN,Stonegate,open,537175,182828,51.52771,-0.02394,Tower Hamlets,"Confidence: High. Evidence: Stonegate Group's own press release covers the refurbishment/reopening of The Little Driver, Bow, and it is listed on craftunionpubs.com. Sources: https://www.stonegategroup.co.uk/press/kick-off-at-the-little-driver-in-bow-as-it-reopens-following-refurbishment/ ; https://www.craftunionpubs.com/little-driver-bow"
529389,The Lord Morpeth PH,"402 Old Ford Road, London",E3 5NR,Independent,closed,536330,183552,51.534421,-0.035833,Tower Hamlets,
529390,The Lord Nelson,"Lord Nelson Public House, 1-1a Manchester Road, London",E14 3BD,Heineken,open,538100,178380,51.487506,-0.012354,Tower Hamlets,"Confidence: High. Evidence: Wharf Life and Star Pubs & Bars' own site describe new licensee Cara Venn leasing The Lord Nelson from Star Pubs & Bars, which is Heineken UK's leased-pub division. Sources: https://www.starpubs.co.uk/news/new-year-new-look-for-the-lord-nelson-isle-of-dogs ; https://wharf-life.com/interviews/isle-of-dogs-the-lord-nelson-pub-heineken-cara-venn-star-pubs-and-bars/"
529391,The Lord Tredegar,"50 Lichfield Road, London",E3 5AL,Remarkable Restaurants,open,536576,182913,51.528618,-0.032536,Tower Hamlets,"Confidence: High. Evidence: The Lord Tredegar is described as part of the Remarkable Pubs group of 17 London pubs, the same operator as the Approach Tavern; reopened by Remarkable in 2012. Source: https://en.wikipedia.org/wiki/Lord_Tredegar,_Bow"
529393,The Manor Arms,"150 East India Dock Road, London",E14 0BP,Manor Arms Docklands Ltd,open,537796,180973,51.51089,-0.015718,Tower Hamlets,
529397,The Marksman,"254 Hackney Road, London",E2 7SJ,Independent,open,534058,183107,51.530974,-0.068739,Tower Hamlets,"Confidence: High. Evidence: Multiple press sources (Hot Dinners, Hackney Gazette, Feast Magazine) confirm chefs Tom Harris and Jon Rotheram relaunched and continue to run The Marksman as an independent pub/dining room since 2015. Source: https://www.hot-dinners.com/Gastroblog/Latest-news/hackney-pub-the-marksman-to-be-relaunched-by-tom-harris-and-jon-rotheram"
529409,The Old George,"Old George Public House, 379 Bethnal Green Road, London",E2 0AN,Stonegate,open,534695,182702,51.527174,-0.05973,Tower Hamlets,
529410,The Old Ship,"The Old Ship Public House, 17 Barnes Street, London",E14 7NW,Independent,open,536110,181265,51.513922,-0.039886,Tower Hamlets,
529412,The Oliver Conquest,"70 Leman Street, London",E1 8EU,Conquest Pubs,closed,534009,181098,51.512923,-0.070208,Tower Hamlets,
529419,The Owl & The Pussycat,"The Owl And The Pussycat Public House, 34 Redchurch Street, London",E2 7DP,Young's,open,533677,182356,51.524307,-0.074513,Tower Hamlets,
529421,The Palm Tree,"127 Grove Road, London",E3 5RP,Independent,open,536128,182968,51.529221,-0.038969,Tower Hamlets,"Confidence: High. Evidence: Guardian and heritage sources report The Palm Tree has been run by the same family for over 40 years, a Grade II listed independent pub in Mile End Park. Source: https://bowheritagetrail.org/palm-tree-pub-mile-end-park/"
529426,The Pigeon/Yeastie Boys,"26 Hanbury Street, London",E1 6QR,Yeastie Boys,closed,533786,181906,51.520237,-0.073113,Tower Hamlets,
529432,The Pride Of Spitalfields,"3 Heneage Street, London",E1 5LJ,Independent,open,533960,181777,51.519037,-0.070656,Tower Hamlets,
529435,The Queen Adelaide,"483 Hackney Road, London",E2 9ED,Independent,open,534747,183294,51.532482,-0.058741,Tower Hamlets,
529438,The Redchurch,"107 Redchurch Street, London",E2 7DL,Mad Cats,open,533812,182421,51.524859,-0.072544,Tower Hamlets,Listening bar
529446,The Salmon & Ball,"Salmon And Ball, 502 Bethnal Green Road, London",E2 0EA,Independent,open,534836,182692,51.52705,-0.057688,Tower Hamlets,
529450,The Shakespeare,"The Shakespeare Public House, 460 Bethnal Green Road, London",E2 0EA,Independent,open,534836,182692,51.52705,-0.057688,Tower Hamlets,
529452,The Ship,"290 Westferry Road, London",E14 3AG,Independent,open,537662,178430,51.488071,-0.018639,Tower Hamlets,
529453,The Sipping Room,"16 Hertsmere Road, London",E14 4EF,Drake & Morgan,open,537418,180544,51.507118,-0.021329,Tower Hamlets,Confidence: High. Evidence: Multiple listings confirm The Sipping Room at West India Quay (formerly The Bothy) is operated by hospitality group Drake & Morgan. Source: https://luxnomade.com/united-kingdom/food-guide-the-sipping-room-canary-wharf/
529456,The Star of Bethnal Green,"The Star Of Bethnal Green, 359 Bethnal Green Road, London",E2 6LG,Electric Star,open,534492,182662,51.526863,-0.062655,Tower Hamlets,"Confidence: High. Evidence: The Star of Bethnal Green is confirmed as the flagship venue of the Electric Star pub group, founded 2008 by ""Rob Star""/Rob and Steve Marci. Source: https://electricstarpubs.co.uk/our-story"
529457,The Sun Tavern,"Sun Public House, 441 Bethnal Green Road, London",E2 0AN,The Umbrella Project,open,534695,182702,51.527174,-0.05973,Tower Hamlets,"Confidence: High. Evidence: The Caterer and other press confirm The Sun Tavern is the second bar from the Umbrella Project, the team behind Discount Suit Company; Companies House lists The Sun Tavern Bethnal Green Limited's directors. Sources: https://thenudge.com/london-bars/the-sun-tavern/ ; https://find-and-update.company-information.service.gov.uk/company/08755033/officers"
529463,The Ten Bells,"84 Commercial Street, London",E1 6LY,London Beer Factory,open,533749,181777,51.519087,-0.073695,Tower Hamlets,"Confidence: High. Evidence: The Caterer reports the East London Pub Company's Ten Bells was sold to brewery London Beer Factory for £900,000, completed June 2024, after the group's administration in November 2023. Source: https://www.thecaterer.com/news/all-pubs-owned-by-the-east-london-pub-company-sold-after-administration"
529470,The Victoria,"110 Grove Road, London",E3 5TH,Yummy Pub Company,open,536073,183122,51.530618,-0.039702,Tower Hamlets,
529471,The Victory,"The Victory Public House, 27 Vyner Street, London",E2 9DQ,Independent,open,535012,183534,51.534575,-0.05483,Tower Hamlets,Confidence: High. Evidence: Local sources state Auring Bones and her husband Stephen have owned and run The Victory since the early 1990s. Source: https://london.fandom.com/wiki/The_Victory
529478,The White Swan,"White Swan Public House, 21-23 Alie Street, London",E1 8DA,Wellman Taverns,open,533897,181178,51.513666,-0.07179,Tower Hamlets,"Confidence: High. Evidence: A Flickr pub-history caption and TripAdvisor listing describe the White Swan, Alie Street/Aldgate as ""a traditional Shepherd Neame pub,"" and the brewery's beers are served there. Source: https://www.flickr.com/photos/55935853@N00/2551291171"
529502,Tooke Arms,"Tooke Arms Public House, 165 Westferry Road, London",E14 8NH,Independent,open,537153,179533,51.498097,-0.025537,Tower Hamlets,
529518,Town of Ramsgate,"62 Wapping High Street, London",E1W 2PN,Stonegate,open,534600,180051,51.503374,-0.062096,Tower Hamlets,
529542,Turners Old Star,"14 Watts Street, London",E1W 2QG,Independent,open,534781,180278,51.505371,-0.059403,Tower Hamlets,
529624,Watermans Arms,"1 Glenaffric Avenue, London",E14 3BW,Heineken,open,538508,178529,51.488745,-0.006423,Tower Hamlets,Confidence: High. Evidence: Star Pubs & Bars' (Heineken UK) own press release confirms Laura Lythall and Sam Hawkes took on a Star Pubs & Bars lease to reopen the Waterman's Arms on Glenaffric Avenue. Source: https://www.starpubs.co.uk/news/landmark-isle-dogs-pub-taken-over-east-london-operators
529630,Well and Bucket,"Well And Bucket Public House, 143 Bethnal Green Road, London",E2 7DG,Urban Pubs and Bars,open,533904,182476,51.525331,-0.071197,Tower Hamlets,"Confidence: High. Evidence: Well & Bucket is listed directly on Urban Pubs and Bars' own venues page, having been reopened by the Barworks/Urban chain in 2013. Source: https://www.urbanpubsandbars.com/venues/well-bucket"
529633,Wentworth Arms,"Wentworth Arms, 127 Eric Street, London",E3 4SR,Culleton & Friel Ltd,open,536522,182385,51.523887,-0.033518,Tower Hamlets,
529649,White Hart,"White Hart Public House, 1 Mile End Road, London",E1 4TP,McMullen,open,535029,181962,51.520436,-0.055202,Tower Hamlets,"Confidence: High. Evidence: McMullen's own pub-finder page lists the White Hart, Whitechapel (1 Mile End Road) as one of its pubs, having taken it over in September 2022. Source: https://www.mcmullens.co.uk/local-pub/white-hart-whitechapel/"
529650,White Hart,"White Hart Public House, 89 Whitechapel High Street, London",E1 7QX,McMullen,open,533980,181439,51.515994,-0.070496,Tower Hamlets,Confidence: High. Evidence: Coverage of this second White Hart (89 Whitechapel High Street) confirms it also passed to McMullen's in September 2022. Source: https://camra.org.uk/pubs/white-hart-london-155008
529653,White Swan,"White Swan, 556 Commercial Road, London",E14 7JD,Independent,open,536092,181122,51.512642,-0.0402,Tower Hamlets,
529665,Widows Son,"75 Devons Road, London",E3 3PJ,Independent,open,537602,182234,51.522268,-0.018019,Tower Hamlets,
529670,Wine Library,"All Hallows Parish House, 43 Trinity Square, London",EC3N 4DJ,Independent,open,533565,180806,51.510404,-0.076713,Tower Hamlets,Confidence: High. Evidence: The Wine Library's own materials describe it as independently owner-managed since 1999 (business established 1988). Source: https://thatsup.co.uk/london/bar/the-wine-library/
529711,Yeoman Warder Club,"Tower Of London, Tower Hill, London",EC3N 4AE,Independent,open,533603,180570,51.508274,-0.076246,Tower Hamlets,"Confidence: High. Evidence: The Keys/Yeoman Warders Club inside the Tower of London is a private, non-commercial pub collectively run by the Tower's serving Yeomen Warders (Beefeaters) for themselves and guests, not operated by any pub company. Source: https://en.wikipedia.org/wiki/Yeoman_Warders_Club"
529725,Young Prince,"448 Roman Road, London",E3 5LU,Independent,open,536474,183280,51.531942,-0.033863,Tower Hamlets,apparently needs to clean their beer lines
