name,add,postcode,owner,status,lat,long,city,notes,website,history
Euston Tap,"East Lodge, 188 Euston Road",NW1 2EF,Bloomsbury Leisure Grou,open,51.527129,-0.132152,Camden,Pub,http://www.eustontap.com/,
Exmouth Arms Euston,"1 Starcross Street, London",NW1 2HR,Pub Love,open,51.527929,-0.136689,Camden,Pub,http://www.publove.co.uk/exmouth-arms-euston,
Fitzrovia Belle,174 Tottenham Court Road,W1T 7NT,Fitzrovia Belle Ltd,open,51.52257,-0.135706,Camden,Pub,http://www.bellepubsandrestaurants.co.uk/,
Fitzroy Tavern,"16A Charlotte Street, London",W1T 2LY,Samuel Smith,open,51.518705,-0.134601,Camden,Pub,https://fitzroytavern.co.uk/,
Flask Tavern,"77 Highgate West Hill, London",N6 6BU,Fuller Smith & Turner,open,51.56985,-0.150762,Camden,Pub,https://www.theflaskhighgate.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=yext&utm_content=P141&y_source=1_MTIyMzcwODAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
Freemasons Arms,"32 Downshire Hill, London",NW3 1NT,Mitchells & Butlers,open,51.556899,-0.168944,Camden,Pub,https://www.freemasonsarms.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
Gatehouse,"Highgate West Hill, London",N6 6JS,Urban Pubs and Bars,open,51.561348,-0.150977,Camden,Pub,http://www.urbanpubsandbars.com/venues/the-gatehouse?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
Hat & Tun,"3 Hatton Wall, London",EC1N 8HX,ETM Group,open,51.521779,-0.10811,Camden,Pub,https://www.thehatandtun.com/,
Horse & Wig,"Cromwell House, 14 Fulwood Place, London",WC1V 6HZ,Independent,open,51.519032,-0.113442,Camden,Pub,https://www.horseandwig.com/,
Jack Horner,"235-236 Tottenham Court Road, London",W1T 7QN,Fuller Smith & Turner,open,51.518775,-0.132176,Camden,Pub,https://www.jackhornerpub.co.uk/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=yext&utm_content=P043&y_source=1_MTIyMzcyMDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
Lock Tavern,"35 Chalk Farm Road, London",NW1 8AJ,McMullen,open,51.542843,-0.147718,Camden,Pub,https://www.mcmullens.co.uk/local-pub/lock-tavern/,
Lord John Russell P.H.,"91-93 Marchmont Street, London",WC1N 1AL,Independent,open,51.526058,-0.125953,Camden,Pub,https://www.bloomsburylondon.com/tenants/lord-john-russell,
Lore Of The Land,"4 Conway Street, London",W1T 6BB,Gritchie Pubs,open,51.522085,-0.139609,Camden,Pub,https://gritchiepubs.com/,
Lucas Arms,"245A Gray's Inn Road, London",WC1X 8QY,Greene King,open,51.528493,-0.119639,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/lucas-arms?utm_source=g_places&utm_medium=locations&utm_campaign=UC_pubpage,
Lyttleton Arms,"1 Camden High Street, London",NW1 7JE,Mitchells & Butlers,open,51.534617,-0.139386,Camden,Pub,https://www.thelytteltonarmscamden.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
Mabel's Tavern,"9 Mabledon Place, London",WC1H 9AZ,Shepherd Neame,open,51.527802,-0.127554,Camden,Pub,https://www.mabelstavern.co.uk/,
Marlborough Arms,"36 Torrington Place, London",WC1E 7HJ,Greene King,open,51.521748,-0.134159,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/marlborough-arms?utm_source=g_places&utm_medium=locations&utm_campaign=UC_pubpage,
Marquis Cornwallis,"31 Marchmont Street, London",WC1N 1AP,Mitchells & Butlers,open,51.524462,-0.125067,Camden,Pub,https://www.themarquiscornwalliswc1.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
MILLER CLARK LTD AT THE OLD WHITE BEAR,"1 Well Road, London",NW3 1LJ,Northern Union Pubs,open,51.558711,-0.175638,Camden,Pub,http://www.theoldwhitebearhampstead.co.uk/,
Museum Tavern,"49 Great Russell Street, London",WC1B 3BA,Greene King,open,51.518187,-0.125801,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/museum-tavern?utm_source=g_places&utm_medium=locations&utm_campaign=HT_pubpage,
Norfolk Arms,"28 Leigh Street, London",WC1H 9EP,Independent,open,51.52664,-0.125223,Camden,Pub,http://www.norfolkarms.co.uk/,
North Star,"104 Finchley Road, London",NW3 5JJ,Unknown,open,51.545917,-0.178111,Camden,Pub,https://www.facebook.com/NorthStarPub,
Northumberland Arms,"Northumberland Arms, 119 Tottenham Court Road, London",W1T 5AW,The Diners Inn 4 Ltd,open,51.523499,-0.137389,Camden,Pub,https://www.northumberland-arms.com/,
O'Neill's,"73-77 Euston Road, London",NW1 2QS,Mitchells & Butlers,open,51.528859,-0.12617,Camden,Pub,https://www.oneills.co.uk/national-search/london/kings-cross?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
One Tun,"58-60 Goodge Street, London",W1T 4ND,Young's,open,51.519163,-0.136816,Camden,Pub,https://www.theonetun.co.uk/,
Oxford Arms,"265 Camden High Street, London",NW1 7BU,The Green and Red Pub Company,open,51.540594,-0.144276,Camden,Pub,http://www.oxfordarmscamden.co.uk/,
Penderel's Oak,"New Penderel House, 283-287 High Holborn, London",WC1V 7HP,Wetherspoons,open,51.517956,-0.11536,Camden,Pub,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/penderels-oak-holborn,
Philomenaâ€™s,"40 Great Queen Street, London",WC2B 5AA,Independent,open,51.515061,-0.122066,Camden,Pub,http://www.philomenasbar.co.uk/,
Prince Albert PH,"163 Royal College Street, London",NW1 0SG,Laine Pub Company,open,51.539968,-0.13712,Camden,Pub,https://www.princealbert.pub/,
Prince of Wales,"53 Highgate High Street, London",N6 5JX,Star (Heineken),open,51.570891,-0.148858,Camden,Pub,http://www.princeofwaleshighgate.co.uk/,
Prince Of Wales Feathers,"8 Warren Street, London",W1T 5LD,Castle Pubs,open,51.524153,-0.138443,Camden,Pub,https://www.theprinceofwalesfeathersw1.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
Princess Louise,"208 High Holborn, London",WC1V 7BW,Samuel Smith,open,51.517265,-0.121673,Camden,Pub,https://princesslouiseholborn.co.uk/,
Princess of Wales,"22 Chalcot Road, London",NW1 8LL,Marylebone Leisure,open,51.540423,-0.153959,Camden,Pub,http://www.lovetheprincess.com/,
Queen's Head,"66 Acton Street, London",WC1X 9NB,Independent,open,51.528512,-0.118543,Camden,Pub,http://queensheadlondon.com/,
Railway,"100 West End Lane, London",NW6 2LU,Greene King,open,51.546246,-0.190645,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/railway-west-hampstead?utm_source=g_places&utm_medium=locations&utm_campaign=UC_pubpage,
Rising Sun,"46 Tottenham Court Road, London",W1T 2ED,Greene King,open,51.519197,-0.133312,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/rising-sun?utm_source=g_places&utm_medium=locations&utm_campaign=HT_pubpage,
Rose and Crown,71-73 Torriano Avenue,NW5 2SG,Independent,open,51.550259,-0.13293,Camden,Pub,http://www.roseandcrownkentishtown.com/,
Royal George,"8-14 Eversholt Street, London",NW1 1DG,Greene King,open,51.528296,-0.131498,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/royal-george?utm_source=g_places&utm_medium=locations&utm_campaign=UC_pubpage,
Simmons Bar (Jeremy Bentham),"31 University Street, London",WC1E 6JL,202 Pub Co Ltd,open,51.523603,-0.135496,Camden,Pub,https://thejeremybentham.co.uk/,
Sir Christopher Hatton,"4 Leather Lane, London",EC1N 7RA,Mitchells & Butlers,open,51.518071,-0.108495,Camden,Pub,https://www.nicholsonspubs.co.uk/restaurants/london/thesirchristopherhattonhattongardenlondon?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
Sir John Oldcastle,"Farringdon Point, 29-35 Farringdon Road, London",EC1M 3JF,Wetherspoons,open,51.519829,-0.105942,Camden,Pub,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/the-sir-john-oldcastle-farringdon?utm_source=google&utm_medium=maps&utm_campaign=gmb,
SIR RICHARD STEELE PUB,"97 Haverstock Hill, London",NW3 4RL,Independent,open,51.546795,-0.15885,Camden,Pub,https://www.instagram.com/sirrichardsteelenw3?igsh=a2poN2V0c2wzbHZ2,
Sir Robert Peel,"108 Malden Road, London",NW5 4DA,Heineken,open,51.549143,-0.15264,Camden,Pub,http://sir-robert-peel.edan.io/,
Skinners Arms,"114 Judd Street, London",WC1H 9NT,Douglass Inns,open,51.528274,-0.125026,Camden,Pub,http://www.skinnersarmslondon.com/,
Slatterys Bar,"69 Camden Road, London",NW1 9EU,Independent,open,51.54243,-0.138087,Camden,Pub,https://camra.org.uk/pubs/slatterys-london-125238,
Spread Eagle,"141 Albert Street, London",NW1 7NB,Young's,open,51.537609,-0.144888,Camden,Pub,https://www.spreadeaglecamden.co.uk/,
Tapping the Admiral,"Tavern In The Town Public House, 77 Castle Road",NW1 8SU,Independent,open,51.545356,-0.146303,Camden,Pub,http://www.tappingtheadmiral.com/,
TCR Lounge Bar,"183 Tottenham Court Road, London",W1T 7PE,TCR Bar Ltd,open,51.522027,-0.135402,Camden,Pub,http://bartcr.com/,
The Angel Inn,"37 Highgate High Street, London",N6 5JT,Frisco Pubs,open,51.570547,-0.147616,Camden,Pub,http://www.theangel.pub/,
The Angel Public House,"61 St Giles High Street, London",WC2H 8LE,Samuel Smith,open,51.515449,-0.127744,Camden,Pub,https://londonist.com/pubs/pubs/the-angel-2,
The Argyle,"1 Greville Street, London",EC1N 8PQ,Stonegate,open,51.519093,-0.108841,Camden,Pub,https://www.pubsmiths.co.uk/argyle-holborn?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
The Assembly House,"292-294 Kentish Town Road, London",NW5 2TG,Greene King,open,51.550989,-0.140276,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/assembly-house?utm_source=g_places&utm_medium=locations&utm_campaign=UC_pubpage,
The Beaten Docket,"50-56 Cricklewood Broadway, London",NW2 3ET,Wetherspoons,open,51.553725,-0.211553,Camden,Pub,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/the-beaten-docket-cricklewood,
The Black Lion,295 West End Lane,NW6 1RD,Greene King,open,51.551359,-0.19224,Camden,Pub,https://www.theblacklionnw6.co.uk/?utm_source=g_places&utm_medium=locations&utm_campaign=MC_pubpage,
The Bleeding Heart Tavern,"19 Greville Street, London",EC1N 8SQ,Independent,open,51.519395,-0.106926,Camden,Pub,https://bleedingheart.co.uk/,
The Boot,"116 Cromer Street, London",WC1H 8BS,Independent,open,51.52765,-0.12423,Camden,Pub,https://theboot.website/,
The Bountiful Cow,"47-51 Eagle Street, London",WC1R 4AP,Independent,open,51.518704,-0.118183,Camden,Pub,http://www.thebountifulcow.co.uk/,
The Bull And Last Pub,"168 Highgate Road, London",NW5 1QS,Independent,open,51.558945,-0.14865,Camden,Pub,http://www.thebullandlast.co.uk/,
The Camden Head,100 Camden High Street,NW1 0LU,Camden bars,open,51.537522,-0.14118,Camden,Pub,https://camdenhead.com/,
The Carpenters Arms,"68-70 Whitfield Street, London",W1T 4EY,Mitchells & Butlers,open,51.521793,-0.136507,Camden,Pub,https://www.thecarpentersarmsw1.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
The Clerk and Well,"156 Clerkenwell Road, London",EC1R 5DU,Pubs and Rooms,open,51.522216,-0.110672,Camden,Pub,https://www.theclerkandwellpub.co.uk/,
The Cobden Arms,"28-30 Camden High Street, London",NW1 0JH,Independent,open,51.535484,-0.139033,Camden,Pub,https://camra.org.uk/pubs/phoenix-london-125136,
The Cock Tavern,"23 Phoenix Road, London",NW1 1HB,Independent,open,51.531162,-0.131323,Camden,Pub,https://www.thecocktavernlondon.com/,
The Colonel Fawcett,"1 Randolph Street, London",NW1 0SS,Tidalwave bars,open,51.541696,-0.13604,Camden,Pub,http://www.thecolonelfawcett.co.uk/,
The Court,"108A Tottenham Court Road, London",W1T 5AA,Mitchells & Butlers,open,51.52297,-0.136992,Camden,Pub,https://www.thecourtlondon.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
The Craft Beer Co ( Covent Garden ) Ltd,168 High Holborn,WC1V 7AA,Craft Beer Company,open,51.515743,-0.125319,Camden,Pub,http://www.thecraftbeerco.com/covent-garden/,
The Crown,"43 Monmouth Street, London",WC2H 9DD,Greene King,open,51.514309,-0.126753,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/crown?utm_source=g_places&utm_medium=locations&utm_campaign=HT_pubpage,
The Crown PH,"51 New Oxford Street, London",WC1A 1BL,Samuel Smith,open,51.516857,-0.126403,Camden,Pub,https://www.samuelsmithsbrewery.co.uk/,
The Dolphin,"44 Red Lion Street, London",WC1R 4PF,Independent,open,51.520107,-0.117621,Camden,Pub,https://www.london.camra.org.uk/viewnode.php?id=127523,
The Dolphin Public House,"47 Tonbridge Street, London",WC1H 9DW,Dolphin Inns Ltd,open,51.528908,-0.124726,Camden,Pub,http://www.thedolphin-pub.com/,
The Dublin Castle,"94 Parkway, London",NW1 7AN,Independent,open,51.537449,-0.145572,Camden,Pub,http://thedublincastle.com/,
The Duke of Hamilton,"23-25 New End, London",NW3 1JD,Loci Pubs,open,51.558902,-0.177462,Camden,Pub,https://locipubs.com/duke/,
The Duke of York,"7 Roger Street, London",WC1N 2PB,Independent,open,51.522786,-0.116473,Camden,Pub,https://londonpubsgroup.camra.org.uk/viewnode.php?id=27653,
The Elephants Head,"224 Camden High Street, London",NW1 8QR,Twenty6,open,51.540714,-0.143925,Camden,Pub,http://www.elephantsheadcamden.com/,
The Engineer,"65 Gloucester Avenue, London",NW1 8JH,Mitchells & Butlers,open,51.540014,-0.150803,Camden,Pub,https://www.theengineerprimrosehill.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
The Enterprise,"2 Haverstock Hill, London",NW3 2BL,Camden bars,open,51.54425,-0.153055,Camden,Pub,http://www.camdenenterprise.com/,
The Enterprise,"38 Red Lion Street, London",WC1R 4PN,Independent,open,51.520273,-0.117326,Camden,Pub,https://www.the-enterprise.co.uk/menu,
The Euston Flyer,"83-87 Euston Road, London",NW1 2RA,Fuller Smith & Turner,open,51.52867,-0.126754,Camden,Pub,https://www.eustonflyer.co.uk/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=yext&utm_content=P104&y_source=1_MTIyMzcwNzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
The Fiddlers Elbow,"1 Malden Road, London",NW5 3HS,Independent,open,51.546071,-0.151135,Camden,Pub,http://www.thefiddlerselbow.co.uk/,
The Fitzrovia,"Flat A, 18 Goodge Street, London",W1T 2QD,Greene King,open,51.519905,-0.13484,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/fitzrovia,
The Flask Public House,"14 Flask Walk, London",NW3 1HE,Young's,open,51.556561,-0.177311,Camden,Pub,https://www.theflaskhampstead.co.uk/,
The Friend at Hand,"2-4 Herbrand Street, London",WC1N 1HX,Greene King,open,51.522925,-0.124554,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/friend-at-hand,
The Garden Gate,"14 South End Road, London",NW3 2QE,Mitchells & Butlers,open,51.55466,-0.165558,Camden,Pub,https://www.thegardengatehampstead.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
The George,"250 Haverstock Hill, London",NW3 2AE,Greene King,open,51.552438,-0.167176,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/george?utm_source=g_places&utm_medium=locations&utm_campaign=UC_pubpage,
The George,"8 Great Queen Street, London",WC2B 5DG,Beds and Bars Ltd,open,51.516029,-0.12073,Camden,Pub,https://www.thegeorgecoventgarden.co.uk/,
The Gipsy Queen,"166 Malden Road, London",NW5 4BS,Clapham Leisure,open,51.550832,-0.154778,Camden,Pub,http://www.gipsyqueentavern.co.uk/,
The Golden Lion,"88 Royal College Street, London",NW1 0TH,Independent,open,51.539146,-0.135769,Camden,Pub,http://www.goldenlioncamden.com/,
The Good Mixer,"28-30 Inverness Street, London",NW1 7HJ,Independent,open,51.539512,-0.144623,Camden,Pub,http://www.thegoodmixer.co.uk/,
The Grafton Arms,"72 Grafton Way, London",W1T 5DU,First Restaurant,open,51.523303,-0.138737,Camden,Pub,https://www.graftonarms.co.uk/,
The Harrison,"28 Harrison Street, London",WC1H 8JF,Independent,open,51.527564,-0.120557,Camden,Pub,https://theharrisonpub.com/,
The Hawley Arms,"2 Castlehaven Road, London",NW1 8QU,Independent,open,51.541942,-0.14536,Camden,Pub,http://www.thehawleyarms.co.uk/,
The Hercules Pillars,"18 Great Queen Street, London",WC2B 5DG,Beds and Bars Ltd,open,51.515872,-0.12101,Camden,Pub,https://www.herculespillars.co.uk/,
The Ice Wharf,"Suffolk Wharf, 28-30 Jamestown Road, London",NW1 7BY,Wetherspoons,open,51.540184,-0.147422,Camden,Pub,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/the-ice-wharf-camden?utm_source=google&utm_medium=maps&utm_campaign=gmb,
The Lady Ottoline,"11a Northington Street, London",WC1N 2JF,Market Taverns,open,51.522068,-0.114888,Camden,Pub,http://www.theladyottoline.net/,
The Lamb,"94 Lamb's Conduit Street, London",WC1N 3LZ,Young's,open,51.523114,-0.118953,Camden,Pub,https://www.thelamblondon.com/,
The Lansdowne,"90 Gloucester Avenue, London",NW1 8HX,Glendola Leisure,open,51.541483,-0.153325,Camden,Pub,http://www.thelansdownepub.co.uk/,
The Lion and Unicorn,"42-44 Gaisford Street, London",NW5 2ED,Young's,open,51.54809,-0.138923,Camden,Pub,https://www.thelionandunicornnw5.co.uk/,
The Lord Palmerston,"33 Dartmouth Park Hill, London",NW5 1HU,Remarkable Pubs,open,51.559447,-0.140551,Camden,Pub,https://www.thelordpalmerston.co.uk/,
The Lord Stanley,"51 Camden Park Road, London",NW1 9BH,Stanley Pubs,open,51.547205,-0.129598,Camden,Pub,http://www.thelordstanley.com/,
The Northumberland Arms,"141 King's Cross Road, London",WC1X 9BJ,Stonegate,open,51.529733,-0.116186,Camden,Pub,https://northumberlandarmskingscross.co.uk/,
The Old Bell,"38 Kilburn High Road, London",NW6 5UA,Stonegate,open,51.537122,-0.192002,Camden,Pub,https://www.greatlocalpubs.co.uk/old-bell-kilburn?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
The Old Crown (sep sublet kitchen),"33 New Oxford Street, London",WC1A 1BH,McMullen,open,51.516962,-0.125073,Camden,Pub,http://www.theoldcrownpublichouse.com/,
The Old Eagle Public House,"251 Royal College Street, London",NW1 9LU,Independent,open,51.542784,-0.139457,Camden,Pub,https://theoldeaglecamden.co.uk/,
The Old Oak,"1 Mansfield Road, London",NW3 2JD,Stonegate,open,51.554839,-0.15114,Camden,Pub,https://oldoak-hampstead.craftunionpubs.com/,
The Old Red Lion,"72 High Holborn, London",WC1V 6LS,Independent,open,51.518158,-0.116692,Camden,Pub,https://camra.org.uk/pubs/old-red-lion-london-125497,
The One Tun,"125 Saffron Hill, London",EC1N 8QS,First Restaurant,open,51.519739,-0.106508,Camden,Pub,http://onetun.co.uk/,
The Pembroke Castle,"150 Gloucester Avenue, London",NW1 8JA,Stonegate,open,51.542542,-0.154912,Camden,Pub,https://www.pubsmiths.co.uk/pembroke-primrose-hill?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
The Perseverance,"63 Lamb's Conduit Street, London",WC1N 3NB,Market Taverns,open,51.522204,-0.118861,Camden,Pub,https://www.theperseverance.co.uk/,
The Pineapple Public House,"51 Leverton Street, London",NW5 2NX,"McGrath, Davies Property Service",open,51.552994,-0.13966,Camden,Pub,http://www.thepineapplepubnw5.com/,
The Plough,"27 Museum Street, London",WC1A 1LH,Greene King,open,51.517694,-0.125864,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/plough?utm_source=g_places&utm_medium=locations&utm_campaign=UC_pubpage,
The Queens,"49 Regent's Park Road, London",NW1 8XD,Young's,open,51.540618,-0.157773,Camden,Pub,https://www.thequeensprimrosehill.co.uk/,
The Queens Head,"64 Theobald's Road, London",WC1X 8SF,Market Taverns,open,51.520761,-0.116945,Camden,Pub,https://thequeensheadholborn.com/,
The Queens Larder,"1 Queen Square, London",WC1N 3AR,Independent,open,51.52121,-0.122505,Camden,Pub,https://queenslarder.co.uk/,
The Rocket,"120 Euston Road, London",NW1 2AL,Mitchells & Butlers,open,51.528309,-0.128903,Camden,Pub,https://www.therocketeustonroad.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
The Roebuck,"15 Pond Street, London",NW3 2PN,Young's,open,51.553847,-0.167567,Camden,Pub,https://www.roebuckhampstead.com/,
The Seven Stars,"53-54 Carey Street, London",WC2A 2JB,Roxy Beaujolais,open,51.514952,-0.113567,Camden,Pub,http://www.thesevenstars1602.co.uk/,
The Sheephaven Bay,"2 Mornington Street, London",NW1 7QD,Independent,open,51.535175,-0.141685,Camden,Pub,http://sheephavenbaycamden.co.uk/,
The Ship Tavern,"12 Gate Street, London",WC2A 3HP,Independent,open,51.51729,-0.119193,Camden,Pub,https://theshiptavern.co.uk/,
The Signal Box PH,"Unit 53 Euston Railway Station, Eversholt Street, London",NW1 2HS,Fuller Smith & Turner,open,51.528667,-0.133271,Camden,Pub,https://www.signalboxeuston.co.uk/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=yext&utm_content=P199&y_source=1_MTIyMzcxNjktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
The Square Pig,"30-32 Procter Street, London",WC1V 6NZ,Greene King,open,51.518729,-0.119206,Camden,Pub,https://www.squarepigholborn.com/?utm_source=g_places&utm_medium=locations&utm_campaign=MC_pubpage,
The Stag,"67 Fleet Road, London",NW3 2QU,Young's,open,51.553358,-0.1616,Camden,Pub,https://www.thestagnw3.com/?utm_source=google&utm_campaign=homepage,
The Star,"47 Chester Road, London",N19 5DF,Independent,open,51.563454,-0.142638,Camden,Pub,https://www.thestarhighgate.co.uk/,
The Sun,"21 Drury Lane, London",WC2B 5RH,Independent,open,51.515233,-0.123227,Camden,Pub,https://www.thesuntaverncoventgarden.co.uk/,
The Swan,"7 Cosmo Place, London",WC1N 3AP,Greene King,open,51.521198,-0.122895,Camden,Pub,https://www.greeneking.co.uk/pubs/greater-london/swan?utm_source=g_places&utm_medium=locations&utm_campaign=HT_pubpage,
The Vine,"86 Highgate Road, London",NW5 1PB,Greene King,open,51.55484,-0.144345,Camden,Pub,https://www.thevinenw5.co.uk/?utm_source=g_places&utm_medium=locations&utm_campaign=MC_pubpage,
