index,name,add,postcode,filler,owner,status,a,b,lat, long,city,notes
427067,The Greyhound,"82 Kew Green, Kew",TW9 3AP,owner,Independent,open,519101,177647,51.485241,-0.286101,Richmond upon Thames,Freehold: Stonegate
427070,The Hampton,"The Hampton Pub, 31 Tangley Park Road, Hampton",TW12 3YH,owner,Hampton Ale House Ltd,open,512922,170913,51.425994,-0.377192,Richmond upon Thames,Freehold: Stonegate
427072,The Hogarth,"58 Broad Street, Teddington",TW11 8QY,owner,Independent,open,515732,170963,51.42587,-0.336795,Richmond upon Thames,Freehold: Stonegate
427079,The Jolly Gardeners,"The Jolly Gardener, 36 Lower Richmond Road, Mortlake, London",SW14 7EX,owner,The London Pub Group Ltd,open,520353,175936,51.469601,-0.268658,Richmond upon Thames,
427086,The Marlborough,"46 Friars Stile Road, Richmond",TW10 6NH,owner,Young's,open,518438,174277,51.455085,-0.296779,Richmond upon Thames,
427087,The Masons' Arms,"41 Walpole Road, Teddington",TW11 8PJ,owner,Independent,open,515570,171057,51.426746,-0.339075,Richmond upon Thames,
427088,The Mitre,"20 St Marys Grove, Richmond",TW9 1UY,owner,Independent,open,518779,175174,51.463076,-0.291573,Richmond upon Thames,
427092,The New Inn,"345 Petersham Road, Ham",TW10 7DB,owner,Independent,open,517907,172165,51.436232,-0.305106,Richmond upon Thames,Freehold: Heineken
427096,The Orange Tree,"45 Kew Road, Richmond",TW9 2NQ,owner,Young's,open,518077,175291,51.464283,-0.301634,Richmond upon Thames,Freehold: Greene King
427103,The Pig & Whistle,"Pig And Whistle, 86 Sheen Lane, East Sheen, London",SW14 8LP,owner,Independent,open,520459,175524,51.465867,-0.267274,Richmond upon Thames,
427105,The Plough,"42 Christchurch Road, East Sheen, London",SW14 7AF,owner,Fuller Smith & Turner,open,520214,174952,51.460778,-0.271001,Richmond upon Thames,
427107,The Prince Albert,"54-56 Hounslow Road, Twickenham",TW2 7EX,owner,Fuller Smith & Turner,open,514148,174132,51.454672,-0.358543,Richmond upon Thames,
427108,The Princes Head,"27-28 The Green, Richmond",TW9 1LX,owner,Fuller Smith & Turner,open,517758,174845,51.460341,-0.306358,Richmond upon Thames,
427111,The Railway Bell,"Station Road, Hampton",TW12 2AP,owner,Independent,open,513574,169748,51.415392,-0.368197,Richmond upon Thames,
427112,The Railway Tavern,"28-29 The Quadrant, Richmond",TW9 1DN,owner,Mitchells & Butlers,open,518028,175101,51.462576,-0.302389,Richmond upon Thames,
427116,The Red Cow,"59 Sheen Road, Richmond",TW9 1YJ,owner,Punch Pubs & Co,open,518419,175015,51.461731,-0.296806,Richmond upon Thames,
427117,The Red Lion,"164 Stanley Road, Teddington",TW11 8UD,owner,Independent,open,515139,171507,51.430878,-0.345125,Richmond upon Thames,
427118,The Red Lion,"2 Castelnau, Barnes, London",SW13 9RU,owner,Fuller Smith & Turner,open,522401,176643,51.475508,-0.238937,Richmond upon Thames,
427121,The Rifleman,"7 Fourth Cross Road, Twickenham",TW2 5EL,owner,Independent,open,514860,172531,51.44013,-0.348824,Richmond upon Thames,
427124,The Roebuck,"130 Richmond Hill, Richmond",TW10 6RN,owner,Greene King,open,518322,173983,51.452473,-0.298532,Richmond upon Thames,
427125,The Roebuck,"72 Hampton Road, Hampton Hill",TW12 1JN,owner,Independent,open,514670,171265,51.428798,-0.351962,Richmond upon Thames,
427126,The Royal Oak,"45 Oak Avenue, Hampton",TW12 3NR,owner,Independent,open,512615,170604,51.423269,-0.381704,Richmond upon Thames,
427129,The Shack 68,"68 London Road, Twickenham",TW1 3QS,owner,Heineken,open,516197,173562,51.449132,-0.329253,Richmond upon Thames,"Unclear ownership, formerly independent"
427130,The Shaftesbury Arms,"121-123 Kew Road, Richmond",TW9 2PN,owner,Young's,open,518244,175442,51.465596,-0.299181,Richmond upon Thames,
427131,The Ship,"Thames Bank, Mortlake, London",SW14 7QR,owner,Greene King,open,520390,176132,51.471349,-0.268062,Richmond upon Thames,
427133,The Slug & Lettuce,"The Slug And Lettuce, Water Lane, Richmond",TW9 1TJ,owner,Stonegate,open,622675,-5527598,51.45895347,-0.307888418,Richmond upon Thames,
427140,The Sun Inn,"17 Parkshot, Richmond",TW9 2RG,owner,Fuller Smith & Turner,open,518042,175275,51.464137,-0.302129,Richmond upon Thames,
427141,The Sun Inn,"7 Church Road, Barnes, London",SW13 9HE,owner,Mitchells & Butlers,open,521815,176419,51.47363,-0.247448,Richmond upon Thames,
427142,The Sussex Arms,"15 Staines Road, Twickenham",TW2 5BG,owner,Morgan Pub Co,open,515055,172973,51.444071,-0.345857,Richmond upon Thames,
427143,The Swan,"22 High Street, Hampton Wick",KT1 4DB,owner,Shepherd Neame,open,517574,169528,51.41259,-0.310782,Richmond upon Thames,
427145,The Teddington Arms,"38-40 High Street, Teddington",TW11 8EW,owner,Greene King,open,516078,171100,51.427027,-0.331756,Richmond upon Thames,
427149,The Three Kings,"Three Kings, 42 Heath Road, Twickenham",TW1 4BZ,owner,Independent,open,516025,173149,51.445446,-0.331863,Richmond upon Thames,
427150,The Tide End Cottage,"Tide End Cottage, 8 Ferry Road, Teddington",TW11 9NN,owner,Greene King,open,516630,171379,51.429432,-0.323734,Richmond upon Thames,
427154,The Turk's Head,"28 Winchester Road, Twickenham",TW1 1LF,owner,Fuller Smith & Turner,open,516612,174382,51.456412,-0.323002,Richmond upon Thames,
427156,The Victoria,"10 West Temple Sheen, East Sheen, London",SW14 7RT,owner,Morgan Pub Co,open,519893,174980,51.461098,-0.275596,Richmond upon Thames,
427157,The Victoria Inn,"78 Hill Rise, Richmond",TW10 6UB,owner,Punch Pubs & Co,open,517940,174513,51.457319,-0.30385,Richmond upon Thames,
427162,The White Hart,"1 High Street, Hampton Wick",KT1 4DA,owner,Fuller Smith & Turner,open,517530,169428,51.411701,-0.311439,Richmond upon Thames,
427164,The White Hart,"White Hart Inn, 121 Kneller Road, Twickenham",TW2 7DY,owner,Independent,open,514443,174247,51.455637,-0.354263,Richmond upon Thames,
427165,The White Horse,"14-16 Worple Way, Richmond",TW10 6DF,owner,Independent,open,518463,174996,51.461554,-0.296178,Richmond upon Thames,"Freehold: Fuller Smith & Turner, locally managed"
427166,The White Swan,"25 Old Palace Lane, Richmond",TW9 1PG,owner,Fluid Pub Group,open,517420,174941,51.461274,-0.311204,Richmond upon Thames,
427170,The Winning Post,"Chertsey Road, Twickenham",TW2 6LS,owner,Greene King,open,514318,173317,51.447309,-0.356361,Richmond upon Thames,
427171,The Worlds End,"88 Station Road, Hampton",TW12 2AX,owner,Independent,open,513669,169723,51.415137,-0.366848,Richmond upon Thames,
